rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/clip_range
210.84,251,93,-295.37,23552,23,-1.3490063641220331,0.0005,1241.4250987052917,519.4614868164062,220,-0.017488831631999345,0.065234375,0.20518046617507935,0.025587454,0.3
207.79,252,97,-270.06,24576,24,-1.3202856943011283,0.0005,765.7815653800965,323.87939453125,230,-0.006014291954852524,0.0173828125,0.07131123542785645,0.013262099,0.3
206.6,253,101,-248.5,25600,25,-1.3341449521481992,0.0005,1209.5222590446472,2070.422119140625,240,-0.008628964488889324,0.02626953125,0.1521868109703064,0.016199611,0.3
204.59,253,104,-245.7,26624,26,-1.331826752796769,0.0005,839.6482666015625,310.9337158203125,250,-0.005316852431860752,0.00849609375,0.20686829090118408,0.0146007985,0.3
205.24,254,108,-245.81,27648,27,-1.3435389019548893,0.0005,536.8612810611725,351.6354064941406,260,-0.02051635719690239,0.1140625,0.4177861213684082,0.025098879,0.3
206.98,254,112,-245.55,28672,28,-1.3228540286421775,0.0005,528.9915812015533,258.67218017578125,270,-0.01356314404256409,0.03818359375,0.4092208743095398,0.020251121,0.3
212.56,254,116,-263.33,29696,29,-1.321213949099183,0.0005,740.9185577392578,456.74853515625,280,-0.013565754075534642,0.0580078125,0.040214478969573975,0.016774314,0.3
214.93,254,120,-270.02,30720,30,-1.3090205360203981,0.0005,609.0034183502197,296.9930114746094,290,-0.01705086610891158,0.06728515625,0.3266196846961975,0.034466535,0.3
218.71,254,124,-275.95,31744,31,-1.3299576945602893,0.0005,547.0227059841156,315.60272216796875,300,-0.02407368739368394,0.13701171875,0.43180471658706665,0.034961183,0.3
226.68,253,129,-288.28,32768,32,-1.319336324930191,0.0005,535.8452910423279,176.7137908935547,310,-0.01215460424136836,0.05830078125,0.5207890272140503,0.020537466,0.3
231.94,252,133,-286.14,33792,33,-1.2952310729771852,0.0005,628.5122865200043,308.79888916015625,320,-0.009556860870725358,0.05,0.3491230607032776,0.013771033,0.3
228.97,253,137,-271.45,34816,34,-1.310367003828287,0.0005,505.6230013847351,135.64854431152344,330,-0.017264362997957507,0.097265625,0.5985426306724548,0.024362639,0.3
230.44,251,142,-262.14,35840,35,-1.297153653204441,0.0005,534.0294878005982,244.40701293945312,340,-0.023551112499262672,0.12802734375,0.24330288171768188,0.037098147,0.3
233.39,250,147,-258.67,36864,36,-1.3266232445836068,0.0005,751.3150624275207,298.0258483886719,350,-0.025442559490329586,0.1400390625,0.1538068652153015,0.031528898,0.3
229.7,249,151,-245.5,37888,37,-1.3105991818010807,0.0005,1018.8603119373322,2136.548583984375,360,-0.012491373586817645,0.04208984375,0.12488889694213867,0.011900632,0.3
223.59,250,155,-221.75,38912,38,-1.2823722496628762,0.0005,474.26846113204954,130.57452392578125,370,-0.013075433621997945,0.0470703125,0.33651018142700195,0.023802463,0.3
229.38,249,159,-225.86,39936,39,-1.2908667236566544,0.0005,323.61580077409747,187.15975952148438,380,-0.014422078299685382,0.05615234375,0.48622822761535645,0.015652195,0.3
