rewards,losses,steps,epsilons
-778,26.51339088201523,500,0.5082950737585841
-379,27.614022264957427,500,0.5057535983897912
-741,26.492445318937303,500,0.5032248303978422
-749,29.22782455396652,500,0.500708706245853
-181,27.948924879074095,500,0.4982051627146237
-234,25.040206730365753,308,0.49571413690105054
-364,25.084133430957795,500,0.4932355662165453
-119,24.687265972296398,156,0.4907693883854626
-846,23.771862728118897,500,0.4883155414435353
-651,24.281751255989075,500,0.4858739637363176
-30,21.851027931325575,425,0.483444593917636
-575,20.75082325029373,500,0.4810273709480478
-383,24.282350903465634,441,0.47862223409330756
-591,23.111564168453217,500,0.47622912292284103
-393,28.441983003778315,471,0.4738479773082268
-420,22.13814766717558,476,0.47147873742168567
-125,22.404084725813433,143,0.46912134373457726
-1072,20.477899455547334,500,0.46677573701590436
-199,24.148322209637826,382,0.46444185833082485
166,24.46737351316087,188,0.46211964903917074
-245,25.489779831201602,390,0.4598090507939749
-399,23.380428801721603,335,0.457510005540005
174,25.858603875901963,225,0.45522245551230495
-198,22.640428647994995,375,0.4529463432347434
-215,21.32377965109689,406,0.4506816115185697
-323,25.197616115311124,302,0.4484282034609769
-573,23.33512208867073,500,0.446186062443672
23,22.907324525145885,383,0.4439551321314536
-237,25.88472714768835,332,0.4417353564707963
-90,22.257534774144492,210,0.43952667968844233
-1139,19.553309141635896,500,0.43732904629000013
-1053,16.748599809646606,500,0.4351424010585501
-88,22.742844087382156,144,0.43296668905325736
-467,20.931261648534395,447,0.43080185560799106
39,19.445148453263954,404,0.4286478463299511
-1160,25.13709109793726,497,0.42650460709830135
-1001,19.190338800907135,500,0.42437208406280985
408,18.72965861713819,177,0.4222502236424958
-241,23.171669322649638,450,0.42013897252428334
-1170,19.010415265083314,500,0.4180382776616619
-653,19.487504163503647,500,0.4159480862733536
-27,24.217103234733024,205,0.41386834584198684
-553,19.432809576790987,411,0.4117990041127769
-248,23.108933641599574,345,0.40974000909221303
-1230,20.267414674282072,500,0.40769130904675194
-34,30.907607351882117,280,0.40565285250151817
-43,28.27615166203304,387,0.4036245882390106
-417,23.52826841633776,413,0.4016064652978155
-517,17.161250806094817,298,0.3995984329713264
-22,26.05970690044732,313,0.3976004408064698
171,25.60030286059235,264,0.39561243860243744
-1032,27.908561547756197,500,0.3936343764094253
-335,25.766539905408415,396,0.39166620452737816
-378,23.535366521034067,438,0.3897078735047413
-500,35.342599348044295,239,0.3877593341372176
-613,25.85101898431778,500,0.3858205374665315
-758,29.12315242910385,500,0.38389143477919885
-505,18.44124943757579,274,0.3819719776053028
-802,22.95841332769394,500,0.3800621177172763
-1057,20.915160475730897,500,0.37816180712868996
-96,27.37367029379054,328,0.37627099809304654
-1721,26.26027035856247,500,0.3743896431025813
-1171,31.590981641575187,383,0.37251769488706843
-28,20.45161081602176,480,0.3706551064126331
-486,19.345306450088554,298,0.36880183088056995
-1642,24.097919166564942,500,0.3669578217261671
